Gene 1	Gene 2	Weight	Network group	Networks
RPL5	RPL11	0.106661835918203	Co-expression	Arijs-Rutgeerts-2009; Bild-Nevins-2006 B; Burington-Shaughnessy-2008; Cheok-Evans-2003; Gysin-McMahon-2012; Kang-Willman-2010; Mallon-McKay-2013; Roth-Zlotnik-2006; Salaverria-Siebert-2011; Smirnov-Cheung-2009; Wang-Maris-2006
BRCA1	BRCA2	0.05132700363174081	Co-expression	Burington-Shaughnessy-2008; Ramaswamy-Golub-2001; Salaverria-Siebert-2011; Wang-Maris-2006
ATR	TOPBP1	0.04701708978973329	Co-expression	Bild-Nevins-2006 B; Gysin-McMahon-2012; Rieger-Chu-2004; Roth-Zlotnik-2006; Salaverria-Siebert-2011
RAD51	BRCA1	0.04484302457422018	Co-expression	Alizadeh-Staudt-2000; Burington-Shaughnessy-2008; Kang-Willman-2010
BRIP1	BRCA2	0.040771071799099445	Co-expression	Gysin-McMahon-2012; Kang-Willman-2010; Smirnov-Cheung-2009
MND1	BRCA2	0.03206639923155308	Co-expression	Arijs-Rutgeerts-2009; Roth-Zlotnik-2006
BARD1	TOPBP1	0.029745529405772686	Co-expression	Bild-Nevins-2006 B; Kang-Willman-2010
MND1	BARD1	0.02891013491898775	Co-expression	Arijs-Rutgeerts-2009; Kang-Willman-2010
BARD1	BRIP1	0.028837839141488075	Co-expression	Kang-Willman-2010; Salaverria-Siebert-2011
MND1	BRIP1	0.02745957486331463	Co-expression	Arijs-Rutgeerts-2009; Kang-Willman-2010
DMC1	RAD51	0.027045946568250656	Co-expression	Salaverria-Siebert-2011
MND1	RAD51	0.025469595566391945	Co-expression	Innocenti-Brown-2011; Kang-Willman-2010
BARD1	RAD51	0.023884078487753868	Co-expression	Boldrick-Relman-2002; Innocenti-Brown-2011
PSMC3IP	BRCA1	0.023836658336222172	Co-expression	Gysin-McMahon-2012; Mallon-McKay-2013
TP53	BARD1	0.023238176479935646	Co-expression	Roth-Zlotnik-2006
TP53	RAD51	0.022191070020198822	Co-expression	Wang-Maris-2006
BRIP1	DMC1	0.021664515137672424	Co-expression	Salaverria-Siebert-2011
BRIP1	BRCA1	0.021426549181342125	Co-expression	Innocenti-Brown-2011
ATR	TP53BP1	0.019842213485389948	Co-expression	Cheok-Evans-2003; Ramaswamy-Golub-2001
DMC1	BRCA2	0.019738540053367615	Co-expression	Salaverria-Siebert-2011
AKAP5	CCNG1	0.019601335749030113	Co-expression	Chen-Brown-2002
PSMC3IP	BRIP1	0.019178122282028198	Co-expression	Kang-Willman-2010
RPL11	CCNG1	0.01801942102611065	Co-expression	Kang-Willman-2010; Ramaswamy-Golub-2001; Roth-Zlotnik-2006
ATR	SHFM1	0.017943453043699265	Co-expression	Wang-Maris-2006
TOPBP1	BRCA2	0.017478260211646557	Co-expression	Rieger-Chu-2004; Salaverria-Siebert-2011
TOPBP1	RAD51	0.017059097066521645	Co-expression	Gysin-McMahon-2012
MND1	BRCA1	0.01678185723721981	Co-expression	Roth-Zlotnik-2006
